experiment,algorithm,nodes,param,keyset,metric,value
B,hrw,1000,0,user,cascade3_over_theoretical,1.010000
B,maglev,1000,65537,user,moved_on_remove,0.006912
B,maglev,1000,65537,user,remove_over_theoretical,6.912000
B,maglev,1000,65537,user,moved_on_add,0.006944
B,maglev,1000,65537,user,add_over_theoretical,6.950944
B,maglev,1000,65537,user,moved_on_cascade3,0.016001
B,maglev,1000,65537,user,cascade3_over_theoretical,5.333667
B,maglev,1000,655373,user,moved_on_remove,0.004195
B,maglev,1000,655373,user,remove_over_theoretical,4.195000
B,maglev,1000,655373,user,moved_on_add,0.004382
B,maglev,1000,655373,user,add_over_theoretical,4.386382
B,maglev,1000,655373,user,moved_on_cascade3,0.006753
B,maglev,1000,655373,user,cascade3_over_theoretical,2.251000
B,slot_table,1000,1024,user,moved_on_remove,0.000928
B,slot_table,1000,1024,user,remove_over_theoretical,0.928000
B,slot_table,1000,1024,user,moved_on_add,0.000967
B,slot_table,1000,1024,user,add_over_theoretical,0.967967
B,slot_table,1000,1024,user,moved_on_cascade3,0.002890
B,slot_table,1000,1024,user,cascade3_over_theoretical,0.963333
B,jump,1000,0,user,moved_on_remove_last_bucket,0.001053
B,jump,1000,0,user,remove_last_over_theoretical,1.053000
B,jump,1000,0,user,moved_on_remove_middle,0.390174
B,jump,1000,0,user,remove_middle_over_theoretical,390.174000
B,jump,1000,0,user,moved_on_add,0.001035
B,jump,1000,0,user,add_over_theoretical,1.036035
